variable_id,name_zh,symbol,definition,type,unit,frequency,allowed_min,allowed_max,default_value,status,provenance_id,source_url,transformation,confidence,notes
output_gap,产出缺口,x_gap,(实际产出-潜在产出)/潜在产出,rate,percent,quarterly,-12,8,-0.5,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,HP_or_production_function_placeholder,low,潜在产出估计不唯一
money_supply_broad,广义货币,M2,居民部门持有的广义货币/名义 GDP,ratio,percent_of_GDP,quarterly,20,250,95,synthetic_calibration,CAL-SYN-01,https://www.worldbank.org/en/research/commodity-markets,stock/GDP*100,low,各国货币定义不同
consumer_confidence,消费者信心,conf_c,家庭预期与消费意愿归一化指数,index,index_2026Q1_100,monthly,40,160,100,synthetic_calibration,CAL-SYN-01,https://datacatalog.worldbank.org/infrastructure-data/search/dataset/0037798/global-economic-monitor,base_world_mean_100,low,无统一国际事实口径
business_confidence,企业信心,conf_b,企业订单投资预期归一化指数,index,index_2026Q1_100,monthly,40,160,100,synthetic_calibration,CAL-SYN-01,https://datacatalog.worldbank.org/infrastructure-data/search/dataset/0037798/global-economic-monitor,base_world_mean_100,low,仅作引擎状态变量
tax_revenue,tax_收入,tax,税收收入/GDP,ratio,percent_of_GDP,annual,5,55,25,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/FM,taxes/GDP*100,medium,不等于总收入
total_revenue,总财政收入,R,税收加非税收入和赠与/GDP,ratio,percent_of_GDP,annual,7,60,28,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/FM,revenue/GDP*100,medium,按一般政府口径
total_expenditure,总财政支出,G_total,总支出与净借贷/GDP,ratio,percent_of_GDP,annual,8,65,30,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/FM,expenditure/GDP*100,medium,按一般政府口径
overall_fiscal_balance,总体财政余额,fb,R-G_total/GDP,ratio,percent_of_GDP,annual,-15,10,-2,derived,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/FM,total_revenue-total_expenditure,high,正值为盈余
public_debt,公共债务,d,一般政府总债务/GDP,ratio,percent_of_GDP,annual,5,220,65,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/FM,debt/GDP*100,medium,总债务与净债务不可混用
effective_debt_rate,有效债务利率,i_d,利息支出/期初债务的年化近似,rate,percent,annual,0,18,4.5,synthetic_calibration,CAL-SYN-01,https://www.imf.org/-/media/websites/imf/imported-full-text-pdf/external/pubs/ft/tnm/2010/_tnm1002.pdf,interest_cost/lag_debt*100,medium,应有利率再定价滞后
interest_cost,政府利息成本,int,利息支出/GDP,ratio,percent_of_GDP,annual,0,15,2.5,derived,CAL-SYN-01,https://www.imf.org/-/media/websites/imf/imported-full-text-pdf/external/pubs/ft/tnm/2010/_tnm1002.pdf,effective_debt_rate*lag_debt/(100*(1+nominal_growth)),medium,与债务率共同校验
primary_balance,初级余额,pb,总体余额加利息成本/GDP,ratio,percent_of_GDP,annual,-12,12,0.5,derived,CAL-SYN-01,https://www.imf.org/-/media/websites/imf/imported-full-text-pdf/external/pubs/ft/tnm/2010/_tnm1002.pdf,overall_fiscal_balance+interest_cost,high,正值改善债务
fiscal_multiplier,财政支出乘数,m_G,单位政府支出变动对 GDP 的累计影响,parameter,ratio,quarterly,0,3,0.8,synthetic_calibration,CAL-POL-01,https://www.oecd.org/content/dam/oecd/en/publications/reports/2013/01/oecd-journal-economic-studies-volume-2012-issue-1_g1g16884/eco_studies-v2012-1-en.pdf,scenario_parameter,low,取决于闲置开放度货币条件
automatic_stabilizer,自动稳定器,alpha_stab,产出缺口每 1pp 对结构性余额的半弹性,parameter,percent_of_GDP_per_pp,annual,0,1.5,0.35,synthetic_calibration,CAL-POL-01,https://www.imf.org/external/datamapper/datasets/FM,cyclical_balance=-alpha_stab*output_gap,low,符号按收入随周期变化定义
current_account,经常账户,CA,货物服务贸易加初次和二次收入/GDP,ratio,percent_of_GDP,quarterly,-20,20,-1,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,trade_balance+net_primary_secondary_income,medium,经常账户非资本账户
trade_balance,贸易余额,TB,货物和服务出口减进口/GDP,ratio,percent_of_GDP,quarterly,-25,25,-1,synthetic_calibration,CAL-SYN-01,https://comtradeplus.un.org/TradeFlow,(exports-imports)/GDP*100,medium,UN Comtrade 原始为货物，服务需另源
net_primary_secondary_income,净初次二次收入,NPI,净要素收入与经常转移/GDP,ratio,percent_of_GDP,quarterly,-12,12,0,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,current_account-trade_balance,medium,含利息股利汇款等合并代理
foreign_reserves,外汇储备,res,可用储备折合月进口覆盖,stock,months_import_cover,monthly,0.2,24,5,synthetic_calibration,CAL-SYN-01,https://datacatalog.worldbank.org/infrastructure-data/search/dataset/0037798/global-economic-monitor,reserves/(annual_imports/12),medium,不等于 IMF ARA 充足度
external_debt,外债,ext_d,外债余额/GDP,ratio,percent_of_GDP,quarterly,0,180,45,synthetic_calibration,CAL-SYN-01,https://www.worldbank.org/en/research/commodity-markets,external_debt/GDP*100,medium,公共与私人合计需另分层
net_capital_inflows,净资本流入,CF,资本和金融账户净流入/GDP,ratio,percent_of_GDP,quarterly,-25,25,1,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,BoP_financial_account/GDP*100,low,符号需固定为流入为正
exchange_rate_regime,汇率制度,fx_regime,制度分类而非即时价格,categorical,enum,static,,,placeholder,synthetic_calibration,CAL-SYN-01,https://data.bis.org/topics/EER,none,medium,允许 flexible_managed、crawl、peg、basket
neer_index,名义有效汇率,NEER,贸易加权双边名义汇率指数,index,index_2026Q1_100,monthly,50,180,100,synthetic_calibration,CAL-SYN-01,https://data.bis.org/topics/EER,base_world_mean_100,medium,上升表示升值
reer_index,实际有效汇率,REER,NEER 按相对 CPI 调整,index,index_2026Q1_100,monthly,50,180,100,derived,SRC-BIS-EER-2026,https://data.bis.org/topics/EER,NEER*foreign_CPI/domestic_CPI,medium,上升通常降低竞争力
bank_stability,银行稳定性,bank_stab,资本流动性资产质量和挤兑脆弱性的 0–100 合成指数,index,index_0_100,quarterly,0,100,65,synthetic_calibration,CAL-SYN-01,https://data.bis.org/topics/DSR,weighted_risk_index,low,不是 BIS 官方指标
capital_control_intensity,资本管制强度,cap_ctrl,流入流出限制和审批摩擦的 0–100 指数,index,index_0_100,quarterly,0,100,35,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets,rule_based_index,low,0 为开放，100 为严格
gini,基尼系数,Gini,等价收入/消费分布的不平等指数,ratio,index_0_1,annual,0.20,0.70,0.40,synthetic_calibration,CAL-SYN-01,https://ourworldindata.org/grapher/economic-inequality-gini-index,none,medium,现实调查可能是收入或消费
poverty_rate,贫困率,pov,低于世界设定贫困线的人口比例,rate,percent,annual,0,70,15,synthetic_calibration,CAL-SYN-01,https://pip.worldbank.org/,household_welfare_below_line/population*100,medium,虚构线不等于国际贫困线
real_wage_index,实际工资指数,w_real,名义工资除以 CPI 的归一化指数,index,index_2026Q1_100,quarterly,50,180,100,synthetic_calibration,CAL-SYN-01,https://ilostat.ilo.org/methods/concepts-and-definitions/description-sustainable-development-labour-market-indicators/,nominal_wage/CPI*base,low,覆盖正式工为主
food_energy_burden,食品能源支出压力,burden_fe,底部 40% 家庭食品加家庭能源占可支配收入,ratio,percent,quarterly,5,70,25,synthetic_calibration,CAL-SYN-01,https://www.iea.org/data-and-statistics/data-sets?filter=free,food_energy_spend/disposable_income*100,low,没有统一跨国观测口径
public_support,公共支持,support,对现政府/制度的支持度指数,index,index_0_100,monthly,0,100,55,synthetic_calibration,CAL-SYN-01,https://www.worldbank.org/en/research/commodity-markets,latent_survey_proxy,low,必须不伪装成民调
institutional_trust,制度信任,trust,司法选举行政等信任的综合指数,index,index_0_100,quarterly,0,100,58,synthetic_calibration,CAL-SYN-01,https://datatopics.worldbank.org/world-development-indicators/sources-and-methods.html,latent_survey_proxy,low,需保留分项以解释
social_protection_coverage,社会保障覆盖,soc_cov,至少受一种社会保护福利覆盖人口占比,rate,percent,annual,5,100,55,synthetic_calibration,CAL-SYN-01,https://ilostat.ilo.org/methods/concepts-and-definitions/description-sustainable-development-labour-market-indicators/,covered_population/population*100,medium,对齐 SDG 1.3.1 时需注明口径
agriculture_share,农业增加值份额,s_ag,农业占 GDP,ratio,percent_of_GDP,annual,1,45,12,synthetic_calibration,CAL-SYN-01,https://www.fao.org/faostat/en/#data,agriculture_VA/GDP*100,medium,与制造服务相加为 100
manufacturing_share,制造业增加值份额,s_man,制造业占 GDP,ratio,percent_of_GDP,annual,5,45,22,synthetic_calibration,CAL-SYN-01,https://data.worldbank.org/indicator/NV.IND.MANF.ZS,manufacturing_VA/GDP*100,medium,与农业服务相加为 100
services_share,服务业增加值份额,s_srv,服务业占 GDP,ratio,percent_of_GDP,annual,30,85,66,synthetic_calibration,CAL-SYN-01,https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS,services_VA/GDP*100,medium,包含技术活动
technology_share,技术交叉份额,s_tech,技术密集增加值占 GDP且可跨部门,ratio,percent_of_GDP,annual,3,35,12,synthetic_calibration,CAL-SYN-01,https://datatopics.worldbank.org/world-development-indicators/user-guide.html,classification_based_proxy,low,子集不参与部门加总
renewable_share,可再生能源份额,e_ren,国内发电中的可再生份额,ratio,percent_of_generation,annual,0,95,30,synthetic_calibration,CAL-SYN-01,https://www.iea.org/data-and-statistics/data-sets?filter=free,renewable_generation/total_generation*100,medium,发电与一次能源不得混用
nuclear_share,核电份额,e_nuc,国内发电中的核能份额,ratio,percent_of_generation,annual,0,60,5,synthetic_calibration,CAL-SYN-01,https://www.iea.org/data-and-statistics/data-product/world-energy-balances,nuclear_generation/total_generation*100,medium,非所有国家可用
fossil_share,化石燃料发电份额,e_fossil,煤油气发电占比,ratio,percent_of_generation,annual,0,100,65,synthetic_calibration,CAL-SYN-01,https://www.iea.org/data-and-statistics/data-product/world-energy-balances,fossil_generation/total_generation*100,medium,与 renewable+nuclear=100
food_self_sufficiency,粮食自给率,fss,国内可供食品热量/国内食品可得量,ratio,percent,annual,40,180,95,synthetic_calibration,CAL-SYN-01,https://www.fao.org/faostat/en/#data,domestic_food_supply/domestic_use*100,medium,超过 100 为净出口潜力
mineral_reserve_proxy,矿产储量代理,min_proxy,可开采关键矿产的相对潜力指数,index,index_0_100,annual,0,100,40,synthetic_calibration,CAL-SYN-01,https://www.iea.org/data-and-statistics/data-sets?filter=free,geology_and_output_proxy,low,不是经认证储量
export_concentration,出口集中度,HHI_x,按产品出口份额平方和*10000,ratio,index_0_10000,annual,200,8000,1500,synthetic_calibration,CAL-SYN-01,https://comtradeplus.un.org/TradeFlow,sum(export_share_i^2)*10000,medium,需要 HS4 或一致分类
import_dependency,关键进口依赖,imp_dep,关键商品净进口/国内表观消费,ratio,percent,annual,0,100,35,synthetic_calibration,CAL-SYN-01,https://comtradeplus.un.org/TradeFlow,net_imports/apparent_consumption*100,medium,按商品单独存储
transport_capacity,运输能力,transport_cap,港口铁路道路与边境处理的相对容量,index,index_2026Q1_100,quarterly,40,170,100,synthetic_calibration,CAL-SYN-01,https://datatopics.worldbank.org/world-development-indicators/user-guide.html,composite_capacity_index,low,需避免伪造现实港口量
commodity_price,商品基准价,P_c,商品规格和交割地定义下的外部名义价格,flow,USD_per_physical_unit,monthly,0,100000,placeholder,observed,SRC-WB-PINK-2026,https://www.worldbank.org/en/research/commodity-markets,source_native_unit_to_canonical_unit,high,只在 market_baselines 中用锚点
commodity_price_index,商品模拟价格指数,p_c,相对初始世界市场的结算价格,index,index_2026Q1_100,daily,10,500,100,synthetic_calibration,CAL-MKT-01,https://www.worldbank.org/en/research/commodity-markets,observed_anchor/base_anchor*100,medium,不得当作 USD 报价
own_price_elasticity_demand,需求价格弹性,epsilon_d,需求量对本品价格百分比变化的弹性,parameter,dimensionless,quarterly,-5,-0.01,-0.5,synthetic_calibration,CAL-MKT-01,https://www.core-econ.org/the-economy/,dlnQ/dlnP,low,通常为负
own_price_elasticity_supply,供给价格弹性,epsilon_s,供给量对本品价格百分比变化的弹性,parameter,dimensionless,quarterly,0.01,5,0.4,synthetic_calibration,CAL-MKT-01,https://www.core-econ.org/the-economy/,dlnQ/dlnP,low,短期通常小于长期
inventory_cover,库存覆盖,inv_cover,可用库存除以日均需求,stock,days_of_demand,daily,0,365,35,synthetic_calibration,CAL-MKT-01,https://www.fao.org/faostat/en/#data,inventories/(annual_demand/365),low,为策略状态不等于官方库存
transport_cost,运输成本,t_cost,单位货物抵达成本中的物流与保险部分,flow,percent_of_cif_value,contract,0,80,8,synthetic_calibration,CAL-MKT-01,https://comtradeplus.un.org/TradeFlow,freight_plus_insurance/CIF*100,low,实际保险价格须合同级补采
market_concentration,市场集中度,HHI_m,供应者市场份额平方和*10000,ratio,index_0_10000,quarterly,200,10000,1800,synthetic_calibration,CAL-MKT-01,https://comtradeplus.un.org/TradeFlow,sum(supplier_share_i^2)*10000,low,需要按市场而非国家总出口计算
bilateral_trade_share,双边贸易份额,w_ij,国家 i 对 j 的货物服务贸易占 i 总贸易份额,ratio,percent,annual,0,100,placeholder,placeholder,SRC-UNCT-2026,https://comtradeplus.un.org/TradeFlow,trade_ij/total_trade_i*100,medium,虚构矩阵须满足行列守恒
route_time,路线运输时间,t_route,门到门参考时间或等效距离代理,flow,days,contract,1,90,placeholder,placeholder,SRC-WB-WITS,https://wits.worldbank.org/data/public/WITSAPI_UserGuide.pdf,declared_route_days,low,不可拿现实航线直接映射
port_capacity,港口能力,port_cap,年吞吐或归一化设计能力,stock,index_2026Q1_100,annual,20,250,placeholder,placeholder,SRC-WDI-2026,https://datatopics.worldbank.org/world-development-indicators/user-guide.html,physical_capacity/base*100,low,需要虚构节点清单
tariff_rate,加权平均关税,tau,到岸价上从价税率,rate,percent,policy,0,100,8,synthetic_calibration,CAL-POL-01,https://wits.worldbank.org/data/public/WITSAPI_UserGuide.pdf,ad_valorem_rate,medium,非关税壁垒单列
ntb_intensity,非关税壁垒强度,ntb,许可标准检验配额等综合摩擦,index,index_0_100,policy,0,100,20,synthetic_calibration,CAL-POL-01,https://wits.worldbank.org/data/public/WITSAPI_UserGuide.pdf,rule_based_index,low,不能误报为关税
insurance_cost,贸易保险成本,ins,货值中保险费率,rate,percent_of_cif_value,contract,0,25,0.8,synthetic_calibration,CAL-MKT-01,https://www.worldbank.org/en/research/commodity-markets,contract_premium/CIF*100,low,危机情景可跳升
project_cost,项目总成本,K_proj,项目全生命周期建设资本成本,stock,millions_GCU,project,1,100000,500,synthetic_calibration,CAL-POL-01,https://www.worldbank.org/en/research/commodity-markets,quantity*unit_cost,low,应分本地与进口含量
project_financing_share,项目融资比例,fin_share,债务股权拨款等来源占总成本的比例,ratio,percent,project,0,100,placeholder,placeholder,CAL-POL-01,https://www.oecd.org/content/dam/oecd/en/publications/reports/2013/01/oecd-journal-economic-studies-volume-2012-issue-1_g1g16884/eco_studies-v2012-1-en.pdf,source_amount/project_cost*100,low,各来源份额和为 100
project_duration,项目建设期,T_proj,从开工到运营的计划期,flow,months,project,1,240,36,synthetic_calibration,CAL-POL-01,https://www.worldbank.org/en/research/commodity-markets,days/30.4375,low,使用里程碑而非线性完工
project_delay_probability,项目延期概率,p_delay,计划期外完工的情景概率,probability,probability_0_1,project,0,0.95,0.2,synthetic_calibration,CAL-POL-01,https://www.worldbank.org/en/research/commodity-markets,scenario_probability,low,不是现实国别腐败估计
project_leakage,项目损耗,leak,无法形成有效资本的成本份额,ratio,percent,project,0,60,8,synthetic_calibration,CAL-POL-01,https://www.worldbank.org/en/research/commodity-markets,1-effective_capital/cost,low,涵盖管理低效腐败与返工且需分解
project_import_content,项目进口含量,imp_K,设备材料服务进口占成本比例,ratio,percent,project,0,95,35,synthetic_calibration,CAL-POL-01,https://comtradeplus.un.org/TradeFlow,imported_inputs/project_cost*100,low,决定短期外部压力
project_job_years,项目就业,job_years,建设与运营阶段的全职等效就业年,flow,FTE_job_years,project,0,1000000,1000,synthetic_calibration,CAL-POL-01,https://www.oecd.org/content/dam/oecd/en/publications/reports/2013/01/oecd-journal-economic-studies-volume-2012-issue-1_g1g16884/eco_studies-v2012-1-en.pdf,sum(FTE*years),low,不能等同永久就业
project_tfp_effect,项目生产率效果,delta_A,达产后对生产率指数的累计百分点影响,parameter,index_points,annual,-10,30,2,synthetic_calibration,CAL-POL-01,https://www.core-econ.org/the-economy/,A_post-A_pre,low,有建设期和维护依赖
maintenance_cost,维护成本,OandM,运营维护占替换成本比例,ratio,percent_of_capex,annual,0,15,3,synthetic_calibration,CAL-POL-01,https://www.worldbank.org/en/research/commodity-markets,annual_OandM/capex*100,low,缺失维护会折损能力
contract_quantity,合同数量,q_contract,按商品规格可交付的数量,flow,physical_units,contract,0,1000000000,placeholder,placeholder,SRC-UNCT-2026,https://comtradeplus.un.org/TradeFlow,none,medium,单位必须由 commodity_spec 指定
contract_price,合同单价,p_contract,合同计价货币下的单位价格,flow,currency_per_physical_unit,contract,0,1000000,placeholder,placeholder,SRC-WB-PINK-2026,https://www.worldbank.org/en/research/commodity-markets,quote_to_contract_currency,medium,锚点和实际合同价分离
payment_period,付款周期,T_pay,发票至应付款日,flow,days,contract,0,365,30,synthetic_calibration,CAL-MKT-01,https://www.worldbank.org/en/research/commodity-markets,none,low,预付款为负数不允许用该字段
deposit_share,定金比例,dep,签约时支付金额占合同价值,ratio,percent,contract,0,100,15,synthetic_calibration,CAL-MKT-01,https://www.worldbank.org/en/research/commodity-markets,deposit/contract_value*100,low,应有托管规则
default_probability,违约概率,p_def,给定结算期内违约的条件概率,probability,probability_0_1,contract,0,0.8,0.03,synthetic_calibration,CAL-MKT-01,https://data.bis.org/topics/DSR,scenario_probability,low,不是信用评级
default_loss_given_default,违约损失率,LGD,违约后净暴露损失占比,ratio,percent,contract,0,100,45,synthetic_calibration,CAL-MKT-01,https://data.bis.org/topics/DSR,loss/exposure*100,low,应扣除抵押品保险回收
shock_probability,冲击条件概率,p_shock,在已定义情境和期间内发生概率,probability,probability_0_1,event,0,1,0.1,synthetic_calibration,CAL-STAB-01,https://www.worldbank.org/en/research/commodity-markets,scenario_probability,low,不代表现实发生率
shock_duration,冲击持续期,T_shock,冲击直接作用持续的日数,flow,days,event,1,3650,30,synthetic_calibration,CAL-STAB-01,https://www.worldbank.org/en/research/commodity-markets,none,low,恢复路径另定义
stability_score,稳定性分数,S,生活成本就业通胀短缺债务信任服务能力的可解释合成分数,index,index_0_100,weekly,0,100,60,synthetic_calibration,CAL-STAB-01,https://ilostat.ilo.org/methods/concepts-and-definitions/description-labour-force-statistics/,weighted_rule,low,不是现实政治风险预测
protest_probability,抗议概率,p_protest,由稳定性规则产生的下一期条件概率,probability,probability_0_1,weekly,0,0.9,0.05,derived,CAL-STAB-01,https://ilostat.ilo.org/methods/concepts-and-definitions/description-labour-force-statistics/,logistic_rule,low,只用于玩法风险
collapse_probability,崩溃概率,p_collapse,多期极端失稳的条件概率,probability,probability_0_1,weekly,0,0.5,0.001,derived,CAL-STAB-01,https://data.bis.org/topics/DSR,threshold_and_logistic_rule,low,必须有冷却期和人工审核
